"Potential, V","Current, A"
-0.576,-3.44726e-06
-0.575,-3.4383e-06
-0.574,-3.42835e-06
-0.573,-3.42039e-06
-0.572,-3.41043e-06
-0.571,-3.40248e-06
-0.57,-3.39352e-06
-0.569,-3.38456e-06
-0.568,-3.37761e-06
-0.567,-3.36865e-06
-0.566,-3.36069e-06
-0.565,-3.35274e-06
-0.564,-3.34478e-06
-0.563,-3.33782e-06
-0.562,-3.32987e-06
-0.561,-3.32191e-06
-0.56,-3.31495e-06
-0.559,-3.308e-06
-0.558,-3.30104e-06
-0.557,-3.29308e-06
-0.556,-3.28613e-06
-0.555,-3.28017e-06
-0.554,-3.27321e-06
-0.553,-3.26626e-06
-0.552,-3.2593e-06
-0.551,-3.25234e-06
-0.55,-3.24639e-06
-0.549,-3.24043e-06
-0.548,-3.23347e-06
-0.547,-3.22752e-06
-0.546,-3.22156e-06
-0.545,-3.2146e-06
-0.544,-3.20964e-06
-0.543,-3.20269e-06
-0.542,-3.19673e-06
-0.541,-3.19177e-06
-0.54,-3.18582e-06
-0.539,-3.18086e-06
-0.538,-3.1739e-06
-0.537,-3.16795e-06
-0.536,-3.16299e-06
-0.535,-3.15703e-06
-0.534,-3.15208e-06
-0.533,-3.14612e-06
-0.532,-3.14016e-06
-0.531,-3.13521e-06
-0.53,-3.13025e-06
-0.529,-3.12429e-06
-0.528,-3.11934e-06
-0.527,-3.11338e-06
-0.526,-3.10842e-06
-0.525,-3.10347e-06
-0.524,-3.09851e-06
-0.523,-3.09355e-06
-0.522,-3.0886e-06
-0.521,-3.08264e-06
-0.52,-3.07868e-06
-0.519,-3.07373e-06
-0.518,-3.06777e-06
-0.517,-3.06381e-06
-0.516,-3.05886e-06
-0.515,-3.0539e-06
-0.514,-3.04894e-06
-0.513,-3.04299e-06
-0.512,-3.03903e-06
-0.511,-3.03407e-06
-0.51,-3.02912e-06
-0.509,-3.02516e-06
-0.508,-3.0192e-06
-0.507,-3.01524e-06
-0.506,-3.01029e-06
-0.505,-3.00533e-06
-0.504,-3.00137e-06
-0.503,-2.99642e-06
-0.502,-2.99146e-06
